Choose how you want this story to end.

The Duke and Duchess of Cambridge bid farewell to New Zealand this morning as they boarded a flight bound for Australia. The couple waved and smiled at the crowds gathered to see them off at Wellington Airport, with William holding an alert and lively Prince George in his arms. After 10 days in New Zealand, the family will arrive at Sydney's Kingsford Smith Airport in the afternoon to embark on a second, ten day tour of Australia. Scroll down for video Say goodbye, George! The Cambridges waved goodbye at New Zealand's Wellington Airport today as they boarded a flight bound for Sydney



OPTIONS:
- Australia was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Cambridges was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Daily Mail was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Duchess of Cambridge was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Duke was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- George was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Kate was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Kingsford Smith Airport was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- New Zealand was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Porirua was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Prince George was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Rebecca English was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Royal New Zealand Police College was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Royal Tour was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Sydney was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Twitter was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- Wellington Airport was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- William was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
- australiaroyal@mailonline.com was also coordinated with his parents in dark shirts, socks and shoes, a white woolen jumper keeping out the cold.
