Choose the next sentence for this paragraph.

(CNN) -- Australia's National Rugby League apologized on Tuesday for the behavior of its players after ABC's "Four Corners" current-affairs program revealed allegations of group sex in 2002 between players and a New Zealand woman. Two other women told the program they were sexually abused by NRL players. Former Cronulla player Matthew Johns said he was unable to say "sorry enough" regarding the incident "Violence against women is abhorrent, and sexual assault and the degradation of women is just that," said David Gallop, the NRL's chief executive. "So much of what we saw [during Monday night's program] was fundamentally indefensible. And if anyone in the game today is ignoring the importance of that message, then frankly they will need to find another career."

In his statement,

OPTIONS:
- ABC pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- Australia pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- CNN pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- Christchurch pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- Cronulla pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- David Gallop pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- Four Corners pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- Johns pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- Matthew Johns pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- NRL pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- National Rugby League pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- New Zealand pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
- Nine Network pointed to NRL initiatives put in place since 2002 to promote positive attitudes toward women, including programs developed with the help of a rape crisis center.
