Choose the next sentence.(CNN) -- India has overtaken China as the world's biggest importer of weapons, with Asian nations the most aggressive consumers of military hardware, a new report says. Between 2007 and 2011, India's business accounted for 10% of the global arms market, according to data from the Stockholm International Peace Research Institute (SIPRI). South Korea was next, accounting for 6% of sales, followed by Pakistan and China (5%) and Singapore (4%). Siemon Wezeman, a senior analyst with SIPRI, said India's defense spending reflects its regional security concerns and Delhi's global aspirations. "India procures arms in relation to its tense relationship with Pakistan and increasingly sees China as a potential threat," he told CNN. "It also wants to assert itself as a major regional or even global power."

Meanwhile,

OPTIONS:
- Asian's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- CNN's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- China's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- Delhi's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- India's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- Pakistan's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- SIPRI's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- Siemon Wezeman's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- Singapore's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- South Korea's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
- Stockholm International Peace Research Institute's relative decline as an arms importer comes at a time when it is increasing its overall defense budget, investing in major projects such as the development of a stealth fighter jet and an aircraft carrier program.
