Изберете како сакате оваа приказна да заврши.

Багдад (Си-Ен-Ен) - “Остануваат значајни разлики” меѓу светските сили и Иран во преговорите околу нејзината нуклеарна програма, изјави во четвртокот шефицата за надворешна политика на Европската унија, Кетрин Ештон. Но, рече Ештон, “јасно е дека и двајцата сакаме да постигнеме напредок”. Партиите “се согласуваат за понатамошни дискусии за проширување на заедничката основа”, рече таа, и имаат јасна насока оди напред. Преговорите меѓу Иран и таканаречениот П5+1 -- САД, Франција, Британија, Русија, Кина и Германија-- ќе продолжат следниот месец во Москва. Највисокиот преговарач на Иран, Саед Џалили, го тврдеше правото на Иран да продолжи со мирна нуклеарна енергија во своите забелешки до новинарите. Подоцна, во интервју за Си-Ен-Ен, Џалили изјави дека има напредок.

Дипломатите ќе пристигнат во

ОПЦИИ:
- Ештон на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- Багдад на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- Велика Британија на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор по чекор пристап и реципроцитет”, рече Ештон.
- Си-Ен-Ен на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- Кетрин Ештон на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- Кина на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор по чекор пристап и реципроцитет”, рече Ештон.
- Клинтон на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- Европската унија на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- Франција на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- Германија на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор по чекор пристап и реципроцитет”, рече Ештон.
- Иран на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор по чекор пристап и реципроцитет”, рече Ештон.
- Ирански на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор по чекор пристап и реципроцитет”, рече Ештон.
- Џалили на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- Москва на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор по чекор пристап и реципроцитет”, рече Ештон.
- П5+1 на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- Русија на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор по чекор пристап и реципроцитет”, рече Ештон.
- Саид Џалили на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор-по-чекор пристап и реципроцитет”, рече Ештон.
- САД на 17 јуни, за разговори на 18 и 19 јуни кои ќе се базираат на “чекор по чекор пристап и реципроцитет”, рече Ештон.
