Изберете ја следната реченица за овој став.

(CNN) -- Националната рагби лига на Австралија се извини во вторникот за однесувањето на своите играчи откако програмата за тековни работи на АБЦ “Четири агли” ги откри наводите за групен пол во 2002 година помеѓу играчите и жена од Нов Зеланд. Две други жени изјави на програмата тие биле сексуално злоставувани од страна на НРЛ играчи. Поранешниот играч на Кронула, Метју Џонс изјави дека не е во состојба да каже “доволно жал” во врска со инцидентот “Насилството врз жените е гнасно, а сексуалниот напад и деградацијата на жените е токму тоа”, рече Дејвид Галоп, главен извршен директор на НРЛ. “Толку многу од она што го видовме [за време на програмата во понеделникот вечер] беше фундаментално неодбранливо. И ако некој во играта денес ја игнорира важноста на таа порака, тогаш искрено ќе треба да најде друга кариера”.

Во својата изјава,

ОПЦИИ:
- ABC посочи на иницијативи НРЛ стави во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи програми развиени со помош на силување кризен центар.
- Австралија укажа на иницијативите на НРЛ ставени во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи ги и програмите развиени со помош на кризен центар за силување.
- Си-Ен-Ен посочи на иницијативите на НРЛ ставени во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи програми развиени со помош на кризен центар за силување.
- Крајстчрч укажа на иницијативите на НРЛ ставени во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи програми развиени со помош на кризен центар за силување.
- Кронула укажа на иницијативите на НРЛ ставени во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи ги и програмите развиени со помош на кризен центар за силување.
- Дејвид Галоп укажа на иницијативите на НРЛ ставени во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи ги и програмите развиени со помош на кризен центар за силување.
- Четири катчиња посочи НРЛ иницијативи стави во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи програми развиени со помош на силување кризен центар.
- Џонс посочи на НРЛ иницијативи стави во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи програми развиени со помош на силување кризен центар.
- Метју Џонс посочи на НРЛ иницијативи стави во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи програми развиени со помош на силување кризен центар.
- НРЛ укажа на иницијативите на НРЛ ставени во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи ги и програмите развиени со помош на кризен центар за силување.
- Националната рагби лига укажа на иницијативите на НРЛ ставени во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи ги и програмите развиени со помош на кризен центар за силување.
- Нов Зеланд укажа на иницијативите на НРЛ ставени во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи програми развиени со помош на кризен центар за силување.
- Девет мрежа посочи НРЛ иницијативи стави во место од 2002 година за промовирање на позитивни ставови кон жените, вклучувајќи програми развиени со помош на силување кризен центар.
