Изберете ја следната реченица. (Си-Ен-Ен) -- Индија ја престигна Кина како најголем увозник на оружје во светот, при што азиските нации се најагресивните потрошувачи на воен хардвер, се вели во новиот извештај. Помеѓу 2007 и 2011 година, бизнисот на Индија учествувал со 10% од глобалниот пазар на оружје, според податоците на Меѓународниот институт за истражување на мирот во Стокхолм (SIPRI). Јужна Кореја беше следната, сметководство за 6% од продажбата, по што следеа Пакистан и Кина (5%) и Сингапур (4%). Сиемон Веземан, висок аналитичар со СИПРИ, рече дека трошоците за одбрана на Индија ги одразуваат нејзините регионални безбедносни грижи и глобалните аспирации на Делхи. “Индија набавува оружје во однос на својот напнат однос со Пакистан и се повеќе ја гледа Кина како потенцијална закана”, изјави тој за Си-Ен-Ен. “Исто така, сака да се наметне како голема регионална или дури и глобална моќ”.

Во меѓувреме,

ОПЦИИ:
- Релативниот пад на Азијан како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на Си-Ен-Ен како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на Кина како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на Делхи како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на Индија како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на Пакистан како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на СИПРИ како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на Сиемон Веземан како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на Сингапур како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на Јужна Кореја како увозник на оружје доаѓа во време кога го зголемува својот вкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
- Релативниот пад на Институтот за истражување на мирот во Стокхолм како увозник на оружје доаѓа во време кога го зголемува својот севкупен буџет за одбрана, инвестирајќи во големи проекти како развој на стелт борбен авион и програма за носач на авиони.
